cont;experiment;percent
136;osc_w;28
136;dec;33
136;dec_b;33
136;dec_w;33
136;con;96
136;con_b;49
136;con_w;49
136;inc;14
136;inc_b;38
136;inc_w;18
136;osc;36
137;osc_b;65
137;osc_w;33
137;dec;33
137;dec_b;33
137;dec_w;33
137;con;96
137;con_b;49
137;con_w;49
137;inc;14
137;inc_b;38
137;inc_w;20
137;osc;36
138;osc_b;65
138;osc_w;33
138;dec;33
138;dec_b;33
138;dec_w;33
138;con;96
138;con_b;49
138;con_w;49
138;inc;14
138;inc_b;38
138;inc_w;20
138;osc;36
139;osc_b;65
139;osc_w;33
139;dec;33
139;dec_b;33
139;dec_w;33
139;con;96
139;con_b;49
139;con_w;49
139;inc;14
139;inc_b;38
139;inc_w;19
139;osc;36
140;osc_b;65
140;osc_w;33
140;dec;33
140;dec_b;33
140;dec_w;33
140;con;96
140;con_b;49
140;con_w;49
140;inc;14
140;inc_b;38
140;inc_w;19
140;osc;36
141;osc_b;65
141;osc_w;33
141;dec;33
141;dec_b;33
141;dec_w;33
141;con;96
141;con_b;49
141;con_w;49
141;inc;14
141;inc_b;38
141;inc_w;19
141;osc;36
142;osc_b;65
142;osc_w;33
142;dec;33
142;dec_b;33
142;dec_w;33
142;con;96
142;con_b;49
142;con_w;49
142;inc;14
142;inc_b;38
142;inc_w;19
142;osc;36
143;osc_b;65
143;osc_w;33
143;dec;33
143;dec_b;33
143;dec_w;33
143;con;96
143;con_b;49
143;con_w;49
143;inc;14
