cont;experiment;percent
116;osc_b;18
116;osc_w;18
116;dec;9
116;dec_b;9
116;dec_w;9
116;con;9
116;con_b;18
116;con_w;18
116;inc;9
116;inc_b;21
116;inc_w;25
116;osc;9
117;osc_b;18
117;osc_w;18
117;dec;9
117;dec_b;9
117;dec_w;9
117;con;9
117;con_b;18
117;con_w;18
117;inc;9
117;inc_b;21
117;inc_w;25
117;osc;9
118;osc_b;18
118;osc_w;18
118;dec;9
118;dec_b;9
118;dec_w;9
118;con;9
118;con_b;18
118;con_w;18
118;inc;9
118;inc_b;21
118;inc_w;25
118;osc;9
119;osc_b;18
119;osc_w;18
119;dec;9
119;dec_b;9
119;dec_w;9
119;con;9
119;con_b;18
119;con_w;18
119;inc;9
119;inc_b;21
119;inc_w;25
119;osc;9
120;osc_b;18
120;osc_w;18
120;dec;9
120;dec_b;9
120;dec_w;9
120;con;9
120;con_b;18
120;con_w;18
120;inc;9
120;inc_b;21
120;inc_w;25
120;osc;9
121;osc_b;18
121;osc_w;18
121;dec;9
121;dec_b;9
121;dec_w;9
121;con;9
121;con_b;18
121;con_w;18
121;inc;9
121;inc_b;21
121;inc_w;25
121;osc;9
122;osc_b;18
122;osc_w;18
122;dec;9
122;dec_b;9
122;dec_w;9
122;con;9
122;con_b;18
122;con_w;18
122;inc;9
122;inc_b;21
122;inc_w;25
122;osc;9
123;osc_b;18
123;osc_w;18
123;dec;9
123;dec_b;9
123;dec_w;9
123;con;9
123;con_b;18
123;con_w;18
123;inc;9
123;inc_b;21
123;inc_w;25
123;osc;9
124;osc_b;18
124;osc_w;18
124;dec;9
124;dec_b;9
124;dec_w;9
124;con;9
124;con_b;18
124;con_w;18
124;inc;9
124;inc_b;21
124;inc_w;25
124;osc;9
125;osc_b;18
125;osc_w;18
125;dec;9
125;dec_b;9
125;dec_w;9
125;con;9
125;con_b;18
125;con_w;18
125;inc;9
125;inc_b;21
125;inc_w;25
125;osc;9
126;osc_b;18
126;osc_w;18
126;dec;9
126;dec_b;9
126;dec_w;9
126;con;9
126;con_b;18
126;con_w;18
126;inc;9
126;inc_b;21
126;inc_w;25
126;osc;9
127;osc_b;18
127;osc_w;18
127;dec;9
127;dec_b;9
127;dec_w;9
127;con;9
127;con_b;18
127;con_w;18
127;inc;9
127;inc_b;21
127;inc_w;25
127;osc;9
128;osc_b;18
128;osc_w;18
128;dec;9
128;dec_b;9
128;dec_w;9
128;con;9
128;con_b;18
128;con_w;18
128;inc;9
128;inc_b;21
128;inc_w;25
128;osc;9
129;osc_b;18
129;osc_w;18
129;dec;9
129;dec_b;9
129;dec_w;9
129;con;9
129;con_b;18
129;con_w;18
129;inc;9
129;inc_b;21
129;inc_w;25
129;osc;9
130;osc_b;18
130;osc_w;18
130;dec;9
130;dec_b;9
130;dec_w;9
130;con;9
130;con_b;18
130;con_w;18
130;inc;9
130;inc_b;21
130;inc_w;25
130;osc;9
131;osc_b;18
131;osc_w;18
131;dec;9
131;dec_b;9
131;dec_w;9
131;con;9
131;con_b;18
131;con_w;18
131;inc;9
131;inc_b;21
131;inc_w;25
131;osc;9
132;osc_b;18
132;osc_w;18
132;dec;9
132;dec_b;9
132;dec_w;9
132;con;9
132;con_b;18
132;con_w;21
132;inc;9
132;inc_b;21
132;inc_w;25
132;osc;9
133;osc_b;25
133;osc_w;18
133;dec;9
133;dec_b;9
133;dec_w;9
133;con;9
133;con_b;18
133;con_w;21
133;inc;9
133;inc_b;21
133;inc_w;25
133;osc;9
134;osc_b;25
134;osc_w;18
134;dec;9
134;dec_b;9
134;dec_w;9
134;con;9
134;con_b;18
134;con_w;21
134;inc;9
134;inc_b;28
134;inc_w;25
134;osc;9
135;osc_b;25
135;osc_w;18
135;dec;9
135;dec_b;9
135;dec_w;9
135;con;9
135;con_b;18
135;con_w;21
135;inc;9
135;inc_b;28
135;inc_w;25
135;osc;9
136;osc_b;25
136;osc_w;18
136;dec;9
136;dec_b;9
136;dec_w;9
136;con;9
136;con_b;18
136;con_w;21
136;inc;9
136;inc_b;28
136;inc_w;25
136;osc;9
137;osc_b;25
137;osc_w;21
137;dec;9
137;dec_b;9
137;dec_w;9
137;con;9
137;con_b;18
137;con_w;21
137;inc;9
137;inc_b;28
137;inc_w;25
137;osc;9
138;osc_b;25
138;osc_w;25
138;dec;9
138;dec_b;9
138;dec_w;9
138;con;9
138;con_b;18
138;con_w;21
138;inc;9
138;inc_b;28
138;inc_w;25
138;osc;9
139;osc_b;25
139;osc_w;25
139;dec;9
139;dec_b;9
139;dec_w;9
139;con;9
139;con_b;18
139;con_w;21
139;inc;9
139;inc_b;28
139;inc_w;28
139;osc;9
140;osc_b;25
140;osc_w;25
140;dec;9
140;dec_b;9
140;dec_w;9
140;con;9
140;con_b;18
140;con_w;21
140;inc;9
140;inc_b;28
140;inc_w;28
140;osc;9
141;osc_b;25
141;osc_w;25
141;dec;9
141;dec_b;9
141;dec_w;9
141;con;9
141;con_b;18
141;con_w;21
141;inc;9
141;inc_b;28
141;inc_w;28
141;osc;9
142;osc_b;25
142;osc_w;25
142;dec;9
142;dec_b;9
142;dec_w;9
142;con;9
142;con_b;18
142;con_w;18
142;inc;9
142;inc_b;28
142;inc_w;28
142;osc;9
143;osc_b;25
143;osc_w;25
143;dec;9
143;dec_b;9
143;dec_w;9
143;con;9
143;con_b;18
143;con_w;18
143;inc;9
